id_gasto,fecha,descripcion,monto,id_categoria,metodo_pago
107,2024-11-22,almuerzo corriente,12000,2,efectivo
109,2024-11-28,bus intermunicipal,8000,4,efectivo
110,2024-12-01,recarga celular,10000,3,nequi
111,2024-12-03,tinto doble,3000,1,efectivo
112,2024-12-05,almuerzo corriente,12000,2,efectivo
113,2024-12-08,paquete de papitas,2000,1,efectivo
114,2024-12-10,bus al centro,2500,4,tarjeta
115,2024-12-12,snack dulce,1500,1,efectivo
116,2024-12-15,tinto en la esquina,1500,1,efectivo
117,2024-12-17,sin descripcion,2500,4,desconocido
118,2024-12-20,almuerzo corriente,13000,2,efectivo
119,2024-12-22,recarga celular,10000,3,nequi
120,2024-12-25,gaseosa en la tienda,1800,1,efectivo
