id_gasto,fecha,descripcion,monto,id_categoria,metodo_pago
98,2024-11-01,Gaseosa en la tienda,1800,1,efectivo
99,2024-11-03,Bus al centro,2500,4,tarjeta
100,2024-11-05,Tinto en la esquina,1500,1,efectivo
101,2024-11-07,Almuerzo corriente,13000,2,efectivo
102,2024-11-10,Paquete de papitas,2000,1,EFECTIVO
103,2024-11-12,Recarga celular,10000,3,nequi
104,2024-11-15,Snack dulce,1500,1,efectivo
105,2024-11-17,  Bus al centro  ,2500,4,efectivo
106,2024-11-20,Tinto en la esquina,1500,1,efectivo
107,2024-11-22,Almuerzo corriente,12000,2,Efectivo
108,2024-11-25,Gaseosa en la tienda,-300,1,efectivo
109,2024-11-28,Bus intermunicipal,8000,4,efectivo
110,2024-12-01,Recarga celular,10000,3,NEQUI
111,2024-12-03,Tinto doble,3000,1,efectivo
112,2024-12-05,Almuerzo corriente,12000,2,efectivo
113,2024-12-08,Paquete de papitas,2000,1,efectivo
114,2024-12-10,Bus al centro,2500,4,tarjeta
115,2024-12-12,Snack dulce,1500,1,efectivo
116,2024-12-15,Tinto en la esquina,1500,1,efectivo
117,2024-12-17,,2500,4,
118,2024-12-20,Almuerzo corriente,13000,2,efectivo
119,2024-12-22,Recarga celular,10000,3,nequi
120,2024-12-25,Gaseosa en la tienda,1800,1,EFECTIVO
